% Model,Untitled.mph
% Version,COMSOL 5.6.0.401
% Date,"Jan 28 2022, 23:51"
% Table,Table 2 - Surface Integration 1
% shift (m),I_0 (A),d_cover (m),r_0 (m),-mf.Jphi*mf.Br (N)
1.0E-4,1,0.0013,2.0E-4,0.20362630567530635
1.0E-4,1,0.0013,3.0000000000000003E-4,0.040222480130834445
1.0E-4,1,0.0013,4.0E-4,0.012726644104635079
1.0E-4,1,0.0013,5.0E-4,0.005212833425259355
1.0E-4,1,0.0014000000000000002,1.0E-4,5.999447263648475
1.0E-4,1,0.0014000000000000002,2.0E-4,0.3749654539780059
1.0E-4,1,0.0014000000000000002,3.0000000000000003E-4,0.07406725016917338
1.0E-4,1,0.0014000000000000002,4.0E-4,0.023435340873843195
1.0E-4,1,0.0014000000000000002,5.0E-4,0.009599115621839153
1.0E-4,1,0.0015,1.0E-4,5.3724441671711585
1.0E-4,1,0.0015,2.0E-4,0.33577776044815005
1.0E-4,1,0.0015,3.0000000000000003E-4,0.06632647119961398
1.0E-4,1,0.0015,4.0E-4,0.020986110028001905
1.0E-4,1,0.0015,5.0E-4,0.008595910667851743
1.0E-4,1.25,5.0E-4,1.0E-4,47.87198337512991
1.0E-4,1.25,5.0E-4,2.0E-4,2.9919989609485804
1.0E-4,1.25,5.0E-4,3.0000000000000003E-4,0.5910121404342764
1.0E-4,1.25,5.0E-4,4.0E-4,0.1869999350591012
1.0E-4,1.25,5.0E-4,5.0E-4,0.0765951734002011
1.0E-4,1.25,6.000000000000001E-4,1.0E-4,34.473540477633
1.0E-4,1.25,6.000000000000001E-4,2.0E-4,2.1545962798520626
1.0E-4,1.25,6.000000000000001E-4,3.0000000000000003E-4,0.4255992651559331
1.0E-4,1.25,6.000000000000001E-4,4.0E-4,0.1346622674907539
1.0E-4,1.25,6.000000000000001E-4,5.0E-4,0.055157664764162805
1.0E-4,1.25,7.0E-4,1.0E-4,32.319035194938245
1.0E-4,1.25,7.0E-4,2.0E-4,2.019939699683754
1.0E-4,1.25,7.0E-4,3.0000000000000003E-4,0.39900043450544703
1.0E-4,1.25,7.0E-4,4.0E-4,0.12624623123025955
1.0E-4,1.25,7.0E-4,5.0E-4,0.05171045631198792
1.0E-4,1.25,8.0E-4,1.0E-4,48.52801028725297
1.0E-4,1.25,8.0E-4,2.0E-4,3.03300064295517
1.0E-4,1.25,8.0E-4,3.0000000000000003E-4,0.5991112381145652
1.0E-4,1.25,8.0E-4,4.0E-4,0.1895625401850115
1.0E-4,1.25,8.0E-4,5.0E-4,0.07764481645965199
1.0E-4,1.25,9.0E-4,1.0E-4,49.319398043228
1.0E-4,1.25,9.0E-4,2.0E-4,3.08246237770175
1.0E-4,1.25,9.0E-4,3.0000000000000003E-4,0.6088814573240354
1.0E-4,1.25,9.0E-4,4.0E-4,0.1926538986064272
1.0E-4,1.25,9.0E-4,5.0E-4,0.07891103686919226
1.0E-4,1.25,0.001,1.0E-4,34.83989058437924
1.0E-4,1.25,0.001,2.0E-4,2.1774931615237683
1.0E-4,1.25,0.001,3.0000000000000003E-4,0.43012210597997635
1.0E-4,1.25,0.001,4.0E-4,0.1360933225952314
1.0E-4,1.25,0.001,5.0E-4,0.055743824935161286
1.0E-4,1.25,0.0011,1.0E-4,12.205469138290095
1.0E-4,1.25,0.0011,2.0E-4,0.7628418211431309
1.0E-4,1.25,0.0011,3.0000000000000003E-4,0.15068480417640467
1.0E-4,1.25,0.0011,4.0E-4,0.0476776138216072
1.0E-4,1.25,0.0011,5.0E-4,0.01952875062125818
1.0E-4,1.25,0.0012000000000000001,1.0E-4,1.4561108729680903
1.0E-4,1.25,0.0012000000000000001,2.0E-4,0.09100692956080572
1.0E-4,1.25,0.0012000000000000001,3.0000000000000003E-4,0.01797667744500726
1.0E-4,1.25,0.0012000000000000001,4.0E-4,0.0056879330978345174
1.0E-4,1.25,0.0012000000000000001,5.0E-4,0.002329777396825535
1.0E-4,1.25,0.0013,1.0E-4,5.0906576418689475
1.0E-4,1.25,0.0013,2.0E-4,0.3181661026152245
1.0E-4,1.25,0.0013,3.0000000000000003E-4,0.06284762520824176
1.0E-4,1.25,0.0013,4.0E-4,0.019885381413550576
1.0E-4,1.25,0.0013,5.0E-4,0.008145052226945948
1.0E-4,1.25,0.0014000000000000002,1.0E-4,9.374136349605894
1.0E-4,1.25,0.0014000000000000002,2.0E-4,0.5858835218442245
1.0E-4,1.25,0.0014000000000000002,3.0000000000000003E-4,0.115730078388272
1.0E-4,1.25,0.0014000000000000002,4.0E-4,0.036617720115648025
1.0E-4,1.25,0.0014000000000000002,5.0E-4,0.014998618159366858
1.0E-4,1.25,0.0015,1.0E-4,8.394444011192347
1.0E-4,1.25,0.0015,2.0E-4,0.5246527507000728
1.0E-4,1.25,0.0015,3.0000000000000003E-4,0.10363511124930791
1.0E-4,1.25,0.0015,4.0E-4,0.03279079691875452
1.0E-4,1.25,0.0015,5.0E-4,0.013431110417922703
1.0E-4,1.5,5.0E-4,1.0E-4,68.93565606018787
1.0E-4,1.5,5.0E-4,2.0E-4,4.308478503761742
1.0E-4,1.5,5.0E-4,3.0000000000000003E-4,0.851057482225354
1.0E-4,1.5,5.0E-4,4.0E-4,0.26927990648510886
1.0E-4,1.5,5.0E-4,5.0E-4,0.11029704969629849
1.0E-4,1.5,6.000000000000001E-4,1.0E-4,49.64189828774365
1.0E-4,1.5,6.000000000000001E-4,2.0E-4,3.1026186429867435
1.0E-4,1.5,6.000000000000001E-4,3.0000000000000003E-4,0.6128629418245696
1.0E-4,1.5,6.000000000000001E-4,4.0E-4,0.19391366518648057
1.0E-4,1.5,6.000000000000001E-4,5.0E-4,0.07942703726082564
1.0E-4,1.5,7.0E-4,1.0E-4,46.53941068079593
1.0E-4,1.5,7.0E-4,2.0E-4,2.9087131675493283
1.0E-4,1.5,7.0E-4,3.0000000000000003E-4,0.5745606256878318
1.0E-4,1.5,7.0E-4,4.0E-4,0.1817945729719411
1.0E-4,1.5,7.0E-4,5.0E-4,0.07446305708927047
1.0E-4,1.5,8.0E-4,1.0E-4,69.88033481364397
1.0E-4,1.5,8.0E-4,2.0E-4,4.367520925858904
1.0E-4,1.5,8.0E-4,3.0000000000000003E-4,0.8627201828864375
1.0E-4,1.5,8.0E-4,4.0E-4,0.2729700578661815
1.0E-4,1.5,8.0E-4,5.0E-4,0.11180853570189948
1.0E-4,1.5,9.0E-4,1.0E-4,71.01993318227645
1.0E-4,1.5,9.0E-4,2.0E-4,4.438745823892253
1.0E-4,1.5,9.0E-4,3.0000000000000003E-4,0.8767892985463764
1.0E-4,1.5,9.0E-4,4.0E-4,0.2774216139931423
1.0E-4,1.5,9.0E-4,5.0E-4,0.11363189309177854
1.0E-4,1.5,0.001,1.0E-4,50.169442441542145
1.0E-4,1.5,0.001,2.0E-4,3.135590152588044
1.0E-4,1.5,0.001,3.0000000000000003E-4,0.6193758326106156
1.0E-4,1.5,0.001,4.0E-4,0.19597438453712857
1.0E-4,1.5,0.001,5.0E-4,0.08027110790640408
1.0E-4,1.5,0.0011,1.0E-4,17.575875559193594
1.0E-4,1.5,0.0011,2.0E-4,1.0984922224460152
1.0E-4,1.5,0.0011,3.0000000000000003E-4,0.2169861180124512
1.0E-4,1.5,0.0011,4.0E-4,0.06865576390309998
1.0E-4,1.5,0.0011,5.0E-4,0.028121400894614193
1.0E-4,1.5,0.0012000000000000001,1.0E-4,2.0967996571492113
1.0E-4,1.5,0.0012000000000000001,2.0E-4,0.13104997857407014
1.0E-4,1.5,0.0012000000000000001,3.0000000000000003E-4,0.02588641552085296
1.0E-4,1.5,0.0012000000000000001,4.0E-4,0.00819062366061993
1.0E-4,1.5,0.0012000000000000001,5.0E-4,0.003354879451385919
1.0E-4,1.5,0.0013,1.0E-4,7.330547003841741
1.0E-4,1.5,0.0013,2.0E-4,0.4581591877694687
1.0E-4,1.5,0.0013,3.0000000000000003E-4,0.0905005802994345
1.0E-4,1.5,0.0013,4.0E-4,0.028634949235510715
1.0E-4,1.5,0.0013,5.0E-4,0.01172887520616649
1.0E-4,1.5,0.0014000000000000002,1.0E-4,13.498756343292506
1.0E-4,1.5,0.0014000000000000002,2.0E-4,0.8436722714556901
1.0E-4,1.5,0.0014000000000000002,3.0000000000000003E-4,0.16665131288009236
1.0E-4,1.5,0.0014000000000000002,4.0E-4,0.05272951696598063
1.0E-4,1.5,0.0014000000000000002,5.0E-4,0.021598010149659612
1.0E-4,1.5,0.0015,1.0E-4,12.087999376705572
1.0E-4,1.5,0.0015,2.0E-4,0.755499961007539
1.0E-4,1.5,0.0015,3.0000000000000003E-4,0.14923456020625595
1.0E-4,1.5,0.0015,4.0E-4,0.04721874756301244
1.0E-4,1.5,0.0015,5.0E-4,0.01934079900181253
0.0011210526315789473,0.25,5.0E-4,1.0E-4,19.819316173662994
0.0011210526315789473,0.25,5.0E-4,2.0E-4,1.2387072608537566
0.0011210526315789473,0.25,5.0E-4,3.0000000000000003E-4,0.244682915724148
0.0011210526315789473,0.25,5.0E-4,4.0E-4,0.07741920380335893
0.0011210526315789473,0.25,5.0E-4,5.0E-4,0.03171090587786114
0.0011210526315789473,0.25,6.000000000000001E-4,1.0E-4,17.68464284723353
0.0011210526315789473,0.25,6.000000000000001E-4,2.0E-4,1.1052901779520956
0.0011210526315789473,0.25,6.000000000000001E-4,3.0000000000000003E-4,0.21832892403991933
0.0011210526315789473,0.25,6.000000000000001E-4,4.0E-4,0.06908063612199283
0.0011210526315789473,0.25,6.000000000000001E-4,5.0E-4,0.028295428555568363
0.0011210526315789473,0.25,7.0E-4,1.0E-4,15.704375183925444
0.0011210526315789473,0.25,7.0E-4,2.0E-4,0.9815234489954318
0.0011210526315789473,0.25,7.0E-4,3.0000000000000003E-4,0.19388117511035027
0.0011210526315789473,0.25,7.0E-4,4.0E-4,0.06134521556221551
0.0011210526315789473,0.25,7.0E-4,5.0E-4,0.025127000294277894
0.0011210526315789473,0.25,8.0E-4,1.0E-4,14.527937735052303
0.0011210526315789473,0.25,8.0E-4,2.0E-4,0.9079961084409978
0.0011210526315789473,0.25,8.0E-4,3.0000000000000003E-4,0.17935725598834903
0.0011210526315789473,0.25,8.0E-4,4.0E-4,0.05674975677754806
0.0011210526315789473,0.25,8.0E-4,5.0E-4,0.023244700376090107
0.0011210526315789473,0.25,9.0E-4,1.0E-4,12.865310683641837
0.0011210526315789473,0.25,9.0E-4,2.0E-4,0.8040819177276148
0.0011210526315789473,0.25,9.0E-4,3.0000000000000003E-4,0.15883099609434329
0.0011210526315789473,0.25,9.0E-4,4.0E-4,0.050255119857975226
0.0011210526315789473,0.25,9.0E-4,5.0E-4,0.020584497093826776
0.0011210526315789473,0.25,0.001,1.0E-4,11.285249322964585
0.0011210526315789473,0.25,0.001,2.0E-4,0.7053280826855116
